1,TRC-OEO-ODN-8M-MPO Splitter,ATP,SPLT
2,KS3200 V2 ZTE Backup Storage,BAK,STORAGE
3,R5200G5(Arch2-1)Backup Server,BAK,SERVER
4,R5300G5(Arch3)RH HUB ODF,CEP,
5,R5300G5(Arch3)RH ODF for OCP Cluster 01,CEP,
6,R5300G5(Arch3)RH ODF for OCP Cluster 02,CEP,
7,R5300G5(Arch3)RH ODF for OCP Cluster 03,CEP,
8,R5200G5 CA Server,COM,CA
9,R5200G5 KMS Server,COM,KMS
10,R5200G5(Arch2-1) UME R50s,COM,EMSCN01
11,R5200G5(Arch2-1)ZTE CI/CD,COM,CICDPNF
12,R5200G5(Arch2-2) BN EMS Server,COM,EMSSW
13,R5200G5(Arch2-2) ZTE TECS Openstack(PIM & BM & OCP-SDN-Adapter),COM,SDNADAPTER
14,R5200G5(Arch2-2) ZTE ZENIC(SDN-C),COM,SDNC
15,R5200G5(Arch2-2)Splunk forwarder,COM,SPLUNK
16,R5200G5(Arch2-2)VAScanner,COM,VASCAN
17,R5200G5(HSM)HSM_Pool 01,COM,HSM
18,R5200G5(HSM)HSM_Pool 03,COM,HSM
19,R5300G5(Arch3) FW EMS Server,COM,EMSFW
20,R5300G5(Arch3)UME R50s,COM,EMSCN01
21,ZXR10 M6000-18S (DCGW RT)_Router_Y2024,DCG,
22,FG-1800F-DC,FW4,
23,FG-2600F-DC,IFW,
24,R5200G5(Arch2-2) RH HUB Infra Node for OCP,INF,
25,R5200G5(Arch2-2)RH Infra Logging-Metrics-Router,INF,
26,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW for Cluster 01),LEF,M&S
27,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW for Cluster 02),LEF,M&S
28,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW for Cluster 03),LEF,M&S
29,ZXR10 5960X-56QU-HF (MNG&STOR Leaf SW),LEF,M&S
30,ZXR10 5960X-56QU-HF (Service Leaf 25G SW for Cluster 01),LEF,SRV
31,ZXR10 5960X-56QU-HF (Service Leaf 25G SW for Cluster 02),LEF,SRV
32,ZXR10 5960X-56QU-HF (Service Leaf 25G SW for Cluster 03),LEF,SRV
33,ZXR10 5960X-56QU-HF (Service Leaf 25G SW),LEF,SRV
34,R5200G5(Arch2-2)RH APP Master Node,MAS,
35,R5200G5(Arch2-2) RH HUB Master Node for OCP,MAS,
36,ZXR10 5950-60TM-E (OOB ACC)_All Dom,OOB,ACC
37,ZXR10 5950-60TM-E (OOB AGG)_All Dom,OOB,AGG
38,ZXR10 9904X (MNG&STOR Spine SW)_Switch_Y2024,SPN,M&S
39,ZXR10 9916X (Service Spine SW)_Switch_Y2024,SPN,SRV
40,R5200G5(Arch2-2)RH Supporting Node for OCP,SUP,
41,H3C TAP8000-CE54_Tapping,TAP,NPBSW
42,H3C UniServer R4900 G3_Tapping,TAP,CTRL
43,H3C UniServer R4900 G5_Tapping,TAP,CTRL
44,ZXR10 5960X-56QU-HF (MAS),TAP,MASSW
45,FAD-1200F-DC,WAF,WAF-I
46,R5200G5(Arch2-1)RH HUB Workload(Quay-ACM-ACS),WRK,
47,R5200G5(Arch2-1)Workload_Cluster 01,WRK,
48,R5200G5(Arch2-1)Workload_Cluster 02,WRK,
49,R5200G5(Arch2-1)Workload_Cluster 03,WRK,
